,Title,Year,Metacritic,Internet Movie Database,Rotten Tomatoes,IMDB Votes
267,Invasion of the Body Snatchers,1956,0.92,0.77,0.98,42837.0
268,Invasion of the Body Snatchers,1978,0.75,0.74,0.93,49532.0
269,Invasion of the Neptune Men,1961,,0.2,,2256.0
270,Invasion of the Saucer Men,1957,,0.55,,1394.0
271,Invasion of the Star Creatures,1962,,0.3,,556.0
272,Invisible Invaders,1959,,0.5,,1358.0
273,The Iron Giant,1999,0.85,0.8,0.96,164805.0
274,Iron Invader,2011,,,,
275,It: Chapter One,2017,,,,
276,It: Chapter Two,2019,0.58,0.6599999999999999,0.63,168180.0
277,It Came from Outer Space,1953,,0.65,0.79,8092.0
278,It Conquered the World,1956,,0.49000000000000005,0.8,1977.0
279,It! The Terror from Beyond Space,1958,,0.61,0.69,4294.0
280,I Was a Zombie for the F.B.I.,1982,,0.47000000000000003,,157.0
281,Jetsons: The Movie,1990,0.46,0.5599999999999999,0.27,4529.0
282,Jimmy Neutron: Boy Genius,2001,0.65,0.6,0.74,29604.0
283,John Carter,2012,0.51,0.6599999999999999,0.52,248903.0
284,Joker,2012,,0.24,0.0,4799.0
285,Journey to the Seventh Planet,1962,,0.48,,1402.0
286,Jupiter Ascending,2015,0.4,0.53,0.27,173458.0
287,Justice League,2017,0.45,0.64,0.4,359478.0
288,Killer Klowns from Outer Space,1988,0.43,0.62,0.77,31242.0
289,Killers from Space,1954,,0.33999999999999997,,1783.0
290,Knowing,2009,0.41,0.62,0.33,214882.0
291,Koi... Mil Gaya,2003,,0.71,0.75,20140.0
292,Kronos,1957,,0.58,0.63,1565.0
293,Krrish 3,2013,,0.52,0.69,19669.0
294,Krull,1983,0.45,0.61,,28975.0
295,The Last Starfighter,1984,0.67,0.6799999999999999,0.77,36895.0
296,Leroy & Stitch,2006,,0.62,0.4,4565.0
297,Life,2017,0.54,0.6599999999999999,0.67,196878.0
298,Lifeforce,1985,0.5,0.61,0.6,21322.0
299,Lifted,2006,,0.79,,17178.0
300,Lilo & Stitch,2002,0.73,0.72,0.86,160264.0
301,Lilo & Stitch 2: Stitch Has a Glitch,2005,,0.63,0.4,11210.0
302,Little Shop of Horrors,1986,0.81,0.7,0.9,61649.0
303,Liquid Sky,1982,,0.61,0.95,5306.0
